"m11104","year","age_gr","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mehrmals im Jahr","2016","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2016","66 +","direkter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2016","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2016","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2016","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2016","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2016","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2016","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2016","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2016","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2016","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2016","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2016","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2016","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2016","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2016","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2016","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2016","17-34","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2016","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2016","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2016","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2016","35-65","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2016","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2016","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2016","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2016","66 +","direkter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2016","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2016","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2017","17-34","kein Migrationshintergrund","953","0.203161890354117","0.190770308493473","0.215553472214761"
"Fast nie oder nie","2017","17-34","direkter Migrationshintergrund","1373","","",""
"Fast nie oder nie","2017","17-34","indirekter Migrationshintergrund","251","","",""
"Fast nie oder nie","2017","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2017","35-65","kein Migrationshintergrund","3882","0.330936540456431","0.322376876745271","0.339496204167592"
"Fast nie oder nie","2017","35-65","direkter Migrationshintergrund","2557","","",""
"Fast nie oder nie","2017","35-65","indirekter Migrationshintergrund","278","","",""
"Fast nie oder nie","2017","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2017","66 +","kein Migrationshintergrund","2083","","",""
"Fast nie oder nie","2017","66 +","direkter Migrationshintergrund","298","","",""
"Fast nie oder nie","2017","66 +","indirekter Migrationshintergrund","7","0.542623295282926","0.298519609204536","0.786726981361315"
"Fast nie oder nie","2017","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2017","17-34","kein Migrationshintergrund","564","0.137273236759647","0.126674596492948","0.147871877026346"
"Mehrmals im Jahr","2017","17-34","direkter Migrationshintergrund","461","0.130264756842253","0.11877714463853","0.141752369045977"
"Mehrmals im Jahr","2017","17-34","indirekter Migrationshintergrund","151","","",""
"Mehrmals im Jahr","2017","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2017","35-65","kein Migrationshintergrund","1747","","",""
"Mehrmals im Jahr","2017","35-65","direkter Migrationshintergrund","632","0.125345063758026","0.116005287900709","0.134684839615344"
"Mehrmals im Jahr","2017","35-65","indirekter Migrationshintergrund","89","0.138158014329182","0.11298812202454","0.163327906633824"
"Mehrmals im Jahr","2017","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2017","66 +","kein Migrationshintergrund","412","0.0891787058921174","0.0808312676039813","0.0975261441802534"
"Mehrmals im Jahr","2017","66 +","direkter Migrationshintergrund","27","","",""
"Mehrmals im Jahr","2017","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2017","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2017","17-34","kein Migrationshintergrund","311","0.075730323393632","0.0675822517757636","0.0838783950115004"
"Mindestens einmal im Monat","2017","17-34","direkter Migrationshintergrund","167","","",""
"Mindestens einmal im Monat","2017","17-34","indirekter Migrationshintergrund","63","0.0572760884123018","0.042607493648332","0.0719446831762715"
"Mindestens einmal im Monat","2017","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2017","35-65","kein Migrationshintergrund","646","0.0579827062085031","0.0537313317026059","0.0622340807144004"
"Mindestens einmal im Monat","2017","35-65","direkter Migrationshintergrund","199","","",""
"Mindestens einmal im Monat","2017","35-65","indirekter Migrationshintergrund","32","0.0617969992087467","0.044233477799068","0.0793605206184254"
"Mindestens einmal im Monat","2017","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2017","66 +","kein Migrationshintergrund","134","","",""
"Mindestens einmal im Monat","2017","66 +","direkter Migrationshintergrund","11","","",""
"Mindestens einmal im Monat","2017","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2017","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2017","17-34","kein Migrationshintergrund","2222","","",""
"Mindestens einmal die Woche","2017","17-34","direkter Migrationshintergrund","1297","","",""
"Mindestens einmal die Woche","2017","17-34","indirekter Migrationshintergrund","499","0.562038057499275","0.530718860193545","0.593357254805004"
"Mindestens einmal die Woche","2017","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2017","35-65","kein Migrationshintergrund","5334","0.458121402533177","0.449057985255559","0.467184819810794"
"Mindestens einmal die Woche","2017","35-65","direkter Migrationshintergrund","1440","","",""
"Mindestens einmal die Woche","2017","35-65","indirekter Migrationshintergrund","323","0.491711278912283","0.455245137332058","0.528177420492509"
"Mindestens einmal die Woche","2017","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2017","66 +","kein Migrationshintergrund","1849","","",""
"Mindestens einmal die Woche","2017","66 +","direkter Migrationshintergrund","129","","",""
"Mindestens einmal die Woche","2017","66 +","indirekter Migrationshintergrund","9","0.457376704717075","0.213273018638685","0.701480390795464"
"Mindestens einmal die Woche","2017","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2018","17-34","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2018","17-34","direkter Migrationshintergrund","662","0.370634125285724","0.346781723887857","0.394486526683591"
"Fast nie oder nie","2018","17-34","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2018","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2018","35-65","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2018","35-65","direkter Migrationshintergrund","850","0.551200308360661","0.526589967997042","0.575810648724279"
"Fast nie oder nie","2018","35-65","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2018","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2018","66 +","kein Migrationshintergrund","","","",""
"Fast nie oder nie","2018","66 +","direkter Migrationshintergrund","16","","",""
"Fast nie oder nie","2018","66 +","indirekter Migrationshintergrund","","","",""
"Fast nie oder nie","2018","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2018","17-34","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2018","17-34","direkter Migrationshintergrund","258","","",""
"Mehrmals im Jahr","2018","17-34","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2018","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2018","35-65","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2018","35-65","direkter Migrationshintergrund","255","","",""
"Mehrmals im Jahr","2018","35-65","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2018","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2018","66 +","kein Migrationshintergrund","","","",""
"Mehrmals im Jahr","2018","66 +","direkter Migrationshintergrund","1","","",""
"Mehrmals im Jahr","2018","66 +","indirekter Migrationshintergrund","","","",""
"Mehrmals im Jahr","2018","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2018","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2018","17-34","direkter Migrationshintergrund","92","0.0720766207677024","0.0593045569770352","0.0848486845583697"
"Mindestens einmal im Monat","2018","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2018","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2018","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2018","35-65","direkter Migrationshintergrund","86","0.0630253821212266","0.0510011244004315","0.0750496398420218"
"Mindestens einmal im Monat","2018","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2018","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2018","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2018","66 +","direkter Migrationshintergrund","1","","",""
"Mindestens einmal im Monat","2018","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal im Monat","2018","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2018","17-34","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2018","17-34","direkter Migrationshintergrund","563","0.388602922713805","0.364530349156702","0.412675496270908"
"Mindestens einmal die Woche","2018","17-34","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2018","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2018","35-65","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2018","35-65","direkter Migrationshintergrund","378","0.248261315349164","0.226885406193473","0.269637224504855"
"Mindestens einmal die Woche","2018","35-65","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2018","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2018","66 +","kein Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2018","66 +","direkter Migrationshintergrund","5","0.165071398572029","0.0133507265303229","0.316792070613734"
"Mindestens einmal die Woche","2018","66 +","indirekter Migrationshintergrund","","","",""
"Mindestens einmal die Woche","2018","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2019","17-34","kein Migrationshintergrund","676","0.155982130639","0.144328627438768","0.167635633839233"
"Fast nie oder nie","2019","17-34","direkter Migrationshintergrund","776","0.251594508527458","0.2337281024831","0.269460914571817"
"Fast nie oder nie","2019","17-34","indirekter Migrationshintergrund","190","","",""
"Fast nie oder nie","2019","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2019","35-65","kein Migrationshintergrund","2817","","",""
"Fast nie oder nie","2019","35-65","direkter Migrationshintergrund","1806","","",""
"Fast nie oder nie","2019","35-65","indirekter Migrationshintergrund","225","","",""
"Fast nie oder nie","2019","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Fast nie oder nie","2019","66 +","kein Migrationshintergrund","1675","","",""
"Fast nie oder nie","2019","66 +","direkter Migrationshintergrund","232","","",""
"Fast nie oder nie","2019","66 +","indirekter Migrationshintergrund","14","","",""
"Fast nie oder nie","2019","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2019","17-34","kein Migrationshintergrund","490","0.126634237244162","0.115953114503245","0.137315359985079"
"Mehrmals im Jahr","2019","17-34","direkter Migrationshintergrund","283","","",""
"Mehrmals im Jahr","2019","17-34","indirekter Migrationshintergrund","108","","",""
"Mehrmals im Jahr","2019","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2019","35-65","kein Migrationshintergrund","1647","","",""
"Mehrmals im Jahr","2019","35-65","direkter Migrationshintergrund","578","0.130894111492995","0.120721465033808","0.141066757952181"
"Mehrmals im Jahr","2019","35-65","indirekter Migrationshintergrund","118","","",""
"Mehrmals im Jahr","2019","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mehrmals im Jahr","2019","66 +","kein Migrationshintergrund","498","0.111063957000871","0.102106657022481","0.120021256979261"
"Mehrmals im Jahr","2019","66 +","direkter Migrationshintergrund","48","0.126628231610869","0.0960378418705093","0.157218621351228"
"Mehrmals im Jahr","2019","66 +","indirekter Migrationshintergrund","6","0.0446145855375796","-0.0126110762317641","0.101840247306923"
"Mehrmals im Jahr","2019","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2019","17-34","kein Migrationshintergrund","282","","",""
"Mindestens einmal im Monat","2019","17-34","direkter Migrationshintergrund","130","","",""
"Mindestens einmal im Monat","2019","17-34","indirekter Migrationshintergrund","45","0.0452001103973404","0.031482259924901","0.0589179608697797"
"Mindestens einmal im Monat","2019","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2019","35-65","kein Migrationshintergrund","510","0.0472624151260491","0.0434063280592524","0.0511185021928458"
"Mindestens einmal im Monat","2019","35-65","direkter Migrationshintergrund","191","","",""
"Mindestens einmal im Monat","2019","35-65","indirekter Migrationshintergrund","33","0.0415011614563473","0.0284199404648816","0.0545823824478131"
"Mindestens einmal im Monat","2019","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal im Monat","2019","66 +","kein Migrationshintergrund","137","","",""
"Mindestens einmal im Monat","2019","66 +","direkter Migrationshintergrund","9","0.0197844797599807","0.00697465261861596","0.0325943069013454"
"Mindestens einmal im Monat","2019","66 +","indirekter Migrationshintergrund","3","","",""
"Mindestens einmal im Monat","2019","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2019","17-34","kein Migrationshintergrund","2276","","",""
"Mindestens einmal die Woche","2019","17-34","direkter Migrationshintergrund","1077","","",""
"Mindestens einmal die Woche","2019","17-34","indirekter Migrationshintergrund","538","0.631059468857718","0.599197437190164","0.662921500525271"
"Mindestens einmal die Woche","2019","17-34","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2019","35-65","kein Migrationshintergrund","6659","0.563704895026173","0.554692954846835","0.572716835205511"
"Mindestens einmal die Woche","2019","35-65","direkter Migrationshintergrund","1648","","",""
"Mindestens einmal die Woche","2019","35-65","indirekter Migrationshintergrund","517","0.580124600188513","0.547754561547578","0.612494638829448"
"Mindestens einmal die Woche","2019","35-65","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mindestens einmal die Woche","2019","66 +","kein Migrationshintergrund","2417","","",""
"Mindestens einmal die Woche","2019","66 +","direkter Migrationshintergrund","165","","",""
"Mindestens einmal die Woche","2019","66 +","indirekter Migrationshintergrund","27","","",""
"Mindestens einmal die Woche","2019","66 +","Migrationshintergrund - n. w. differenzierbar","","","",""
