"beruf","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"In Ausbildung","1998","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","554","0.0650545854240744","0.0594916156535107","0.070617555194638"
"In Ausbildung","1998","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","367","0.0756706530351411","0.0671924160007098","0.0841488900695724"
"In Ausbildung","1998","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","118","0.061500465566588","0.0516884697465572","0.0713124613866188"
"In Ausbildung","1998","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1998","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","220","0.383146459072507","0.343547638735478","0.422745279409536"
"In Ausbildung","1998","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1998","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1598","0.277607590905588","0.267506300179929","0.287708881631248"
"In Rente oder Pension","1998","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","801","0.296951068130184","0.282303562798473","0.311598573461895"
"In Rente oder Pension","1998","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","367","0.197840327447319","0.181570275279697","0.21411037961494"
"In Rente oder Pension","1998","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","62","0.579507062577187","0.490815291000444","0.66819883415393"
"In Rente oder Pension","1998","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1998","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1998","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","303","0.0433923095623196","0.0387966491243142","0.047987970000325"
"Arbeitslose","1998","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","497","0.128904098018205","0.118161859528334","0.139646336508075"
"Arbeitslose","1998","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","230","0.0871815090763624","0.0756601018363425","0.0987029163163822"
"Arbeitslose","1998","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1998","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","47","0.0696949061221432","0.0489542721426793","0.0904355401016071"
"Arbeitslose","1998","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1998","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","900","0.105439924448492","0.0985123386374398","0.112367510259543"
"Sonstige Nichterwerbspersonen","1998","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","130","0.0332499791779642","0.0275024494482177","0.0389975089077107"
"Sonstige Nichterwerbspersonen","1998","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","391","0.149885660909158","0.135306926088191","0.164464395730126"
"Sonstige Nichterwerbspersonen","1998","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1998","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","50","0.101130793027517","0.0765724666394026","0.125689119415632"
"Sonstige Nichterwerbspersonen","1998","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1998","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","388","0.0484464166114535","0.0436033318547107","0.0532895013681964"
"Beamte","1998","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","74","0.0175210031367948","0.0133150002768962","0.0217270059966935"
"Beamte","1998","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1998","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1998","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1998","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1999","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1046","0.132425985338083","0.1246296637121","0.140222306964066"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1999","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","475","0.117360138610055","0.106944509591776","0.127775767628334"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1999","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","638","0.264565559673491","0.245762252719372","0.283368866627611"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1999","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1999","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","131","0.176199336700857","0.14545711229309","0.206941561108624"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","1999","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1999","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","2228","0.27363732354225","0.263382828021553","0.283891819062947"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1999","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1213","0.293414521544363","0.278679302935442","0.308149740153283"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1999","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","393","0.207592992584366","0.190303744819292","0.22488224034944"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1999","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1999","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","136","0.233755602001774","0.199605912821696","0.267905291181852"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","1999","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1999","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","538","0.072645685702701","0.0666756402897299","0.0786157311156721"
"Selbstständige/ManagerInnen","1999","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","200","0.0507885544914191","0.0436830022492422","0.0578941067335961"
"Selbstständige/ManagerInnen","1999","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","77","0.0407671120198636","0.0323374026237586","0.0491968214159687"
"Selbstständige/ManagerInnen","1999","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1999","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","1999","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1999","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","519","0.0640983823868593","0.0584647499742439","0.0697320147994748"
"In Ausbildung","1999","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","372","0.0796324883250733","0.0708713767583253","0.0883935998918214"
"In Ausbildung","1999","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","87","0.0416349757510695","0.0331198662854125","0.0501500852167264"
"In Ausbildung","1999","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","1999","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","205","0.367896166096696","0.328984580470271","0.406807751723121"
"In Ausbildung","1999","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Rente oder Pension","1999","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1542","0.279417348955166","0.269096427869471","0.28973827004086"
"In Rente oder Pension","1999","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","803","0.298206058453254","0.283401465670723","0.313010651235784"
"In Rente oder Pension","1999","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","356","0.211678385801016","0.194264905692111","0.229091865909921"
"In Rente oder Pension","1999","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","62","0.605903767220005","0.51458611935713","0.69722141508288"
"In Rente oder Pension","1999","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"In Rente oder Pension","1999","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1999","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","253","0.0364217480505864","0.0321127751754917","0.040730720925681"
"Arbeitslose","1999","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","402","0.110063228161094","0.0999349848281874","0.120191471494"
"Arbeitslose","1999","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","190","0.0792639377403487","0.0677479551904406","0.0907799202902567"
"Arbeitslose","1999","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Arbeitslose","1999","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","31","0.0490849432188518","0.0316521453858272","0.0665177410518764"
"Arbeitslose","1999","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1999","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","766","0.0948446499187779","0.0881053023796868","0.101583997457869"
"Sonstige Nichterwerbspersonen","1999","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","132","0.033349084002863","0.0275386280168824","0.0391595399888437"
"Sonstige Nichterwerbspersonen","1999","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","361","0.143758780106868","0.128802938585646","0.158714621628091"
"Sonstige Nichterwerbspersonen","1999","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Sonstige Nichterwerbspersonen","1999","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","63","0.102137172275861","0.0777017979663468","0.126572546585374"
"Sonstige Nichterwerbspersonen","1999","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1999","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","369","0.0465088761055762","0.0416651885351752","0.0513525636759772"
"Beamte","1999","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","71","0.0171859264118795","0.0129800589299315","0.0213917938938276"
"Beamte","1999","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1999","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Beamte","1999","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Beamte","1999","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2000","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1996","0.13490458510601","0.129310670646369","0.140498499565652"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2000","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","710","0.123640262361762","0.115074562229683","0.132205962493842"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2000","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","953","0.286681868065113","0.270979435031644","0.302384301098582"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2000","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2000","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","167","0.176165452242082","0.149683810959695","0.20264709352447"
"Abhängig Beschäftigte mit einfachen Tätigkeiten","2000","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2000","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","4212","0.284233298220522","0.276847563864943","0.291619032576102"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2000","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","1750","0.277901434736469","0.266244473970651","0.289558395502287"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2000","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","594","0.200287268408152","0.186390338018701","0.214184198797602"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2000","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2000","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","187","0.253213476102411","0.222985701827809","0.283441250377013"
"Abhängig Beschäftigte mit qualifizierten Tätigkeiten","2000","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2000","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1067","0.07555073148655","0.0712232886583311","0.0798781743147689"
"Selbstständige/ManagerInnen","2000","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","336","0.0591084786472166","0.0529717578094686","0.0652451994849647"
"Selbstständige/ManagerInnen","2000","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","124","0.0420449482925515","0.035076201535307","0.049013695049796"
"Selbstständige/ManagerInnen","2000","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2000","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"Selbstständige/ManagerInnen","2000","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"In Ausbildung","2000","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","924","0.0571759311774058","0.0533741036213904","0.0609777587334212"
